# name: 최이안
# student_id: 20242716
# mouse_id: F1
# video: f1_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
289,19.329,585,377,357329
290,19.396,323,107,1252
291,19.463,350,122,2724
292,19.530,346,159,1424
293,19.596,333,179,1595
294,19.663,324,198,2211
295,19.730,321,228,1973
296,19.797,325,253,2726
297,19.864,325,284,3357
298,19.931,321,320,3254
299,19.998,321,341,4923
300,20.065,322,371,5290
301,20.132,323,402,4051
302,20.198,322,440,3232
303,20.265,322,462,3145
304,20.332,325,477,4037
305,20.399,331,503,3028
306,20.466,331,519,2740
307,20.533,333,548,2537
308,20.600,336,565,3470
309,20.667,340,585,4577
310,20.733,341,605,5294
311,20.800,337,621,5152
312,20.867,334,636,3358
313,20.934,331,647,2076
314,21.001,331,651,1775
315,21.068,330,664,477
318,21.269,323,665,494
319,21.335,324,671,334
325,21.737,355,673,326
326,21.804,357,673,449
327,21.870,356,670,544
330,22.071,372,649,1270
331,22.138,382,643,2050
332,22.205,382,640,5260
333,22.272,406,647,6121
334,22.339,438,651,5859
335,22.406,484,651,5608
336,22.472,520,648,5358
337,22.539,553,647,5344
338,22.606,588,645,5540
339,22.673,617,643,5436
340,22.740,646,641,5051
341,22.807,678,642,5000
342,22.874,711,639,5167
343,22.941,736,637,5147
344,23.007,758,635,4927
345,23.074,789,633,4676
346,23.141,813,630,4686
347,23.208,820,629,4761
348,23.275,822,630,4940
349,23.342,824,631,5193
350,23.409,827,629,5291
351,23.476,828,626,5154
352,23.543,829,624,5045
353,23.609,827,626,5036
354,23.676,813,629,4758
355,23.743,807,628,4424
356,23.810,827,609,3735
357,23.877,835,586,4822
358,23.944,854,553,4529
359,24.011,858,527,4889
360,24.078,856,493,4706
361,24.144,853,457,4516
362,24.211,849,432,4762
363,24.278,840,402,4722
364,24.345,825,368,4598
365,24.412,811,340,4503
366,24.479,803,316,4565
367,24.546,794,287,4282
368,24.613,779,261,4417
369,24.680,766,236,4406
370,24.746,754,211,4302
371,24.813,736,186,4431
372,24.880,721,167,4347
373,24.947,710,158,4442
374,25.014,691,146,4407
375,25.081,660,139,4588
376,25.148,633,133,4662
377,25.215,605,130,4448
378,25.281,576,133,4597
379,25.348,548,136,4775
380,25.415,518,138,4722
381,25.482,480,146,4637
382,25.549,446,155,5119
383,25.616,414,164,4598
384,25.683,377,174,4420
385,25.750,364,181,4564
386,25.817,361,185,4669
387,25.883,358,190,4767
388,25.950,360,196,4726
389,26.017,354,217,5292
390,26.084,339,250,5516
391,26.151,326,294,5193
392,26.218,324,333,5124
393,26.285,323,365,5159
394,26.352,323,397,5015
395,26.418,327,421,5273
396,26.485,329,450,5309
397,26.552,330,479,5535
398,26.619,334,500,4457
399,26.686,337,514,2968
400,26.753,334,532,1768
402,26.887,361,607,378
404,27.020,363,593,320
405,27.087,327,673,382
406,27.154,322,658,1050
407,27.221,325,664,1136
408,27.288,329,671,902
409,27.355,329,672,883
410,27.422,328,672,870
411,27.489,329,672,802
412,27.555,334,675,673
413,27.622,353,674,324
414,27.689,357,670,447
415,27.756,369,650,575
416,27.823,379,639,1389
417,27.890,385,639,3413
418,27.957,405,641,5930
419,28.024,437,646,6728
420,28.091,486,645,6412
421,28.157,526,643,6143
422,28.224,569,642,5996
423,28.291,612,637,5736
424,28.358,648,634,5436
425,28.425,689,632,5402
426,28.492,727,626,4844
427,28.559,760,624,4726
428,28.626,798,626,4690
429,28.692,829,623,4276
430,28.759,836,622,4343
431,28.826,840,622,4415
432,28.893,846,622,4400
433,28.960,849,616,3986
434,29.027,853,611,3668
435,29.094,856,609,3472
436,29.161,860,606,3109
437,29.228,861,605,2923
438,29.294,858,607,3223
439,29.361,852,606,3821
440,29.428,847,601,4106
441,29.495,848,587,4360
442,29.562,856,558,4630
443,29.629,862,522,4778
444,29.696,863,480,4555
445,29.763,856,442,4655
446,29.829,848,403,4666
447,29.896,834,362,4413
448,29.963,822,326,4501
449,30.030,808,289,4468
450,30.097,790,252,4347
451,30.164,775,222,4437
452,30.231,760,189,4201
453,30.298,739,160,4356
454,30.365,724,141,4328
455,30.431,712,132,4194
456,30.498,706,128,4266
457,30.565,702,124,4176
458,30.632,701,122,4007
459,30.699,700,120,3772
460,30.766,699,117,3515
461,30.833,697,114,3119
462,30.900,697,112,2994
463,30.966,700,114,3107
464,31.033,703,119,3379
465,31.100,709,131,3375
466,31.167,719,132,3749
467,31.234,731,128,4170
468,31.301,746,124,4475
469,31.368,766,117,4515
470,31.435,787,114,4607
471,31.502,803,116,4714
472,31.568,817,113,4789
473,31.635,820,113,5002
474,31.702,823,112,4962
475,31.769,827,113,4513
476,31.836,830,111,4280
477,31.903,830,109,4144
478,31.970,827,109,4197
479,32.037,819,111,4624
480,32.103,804,119,4402
481,32.170,802,132,3943
482,32.237,815,144,4417
483,32.304,834,170,4875
484,32.371,849,209,4955
485,32.438,852,260,4799
486,32.505,846,307,4845
487,32.572,836,352,4594
488,32.639,827,397,4749
489,32.705,818,438,4736
490,32.772,804,483,4677
491,32.839,797,520,4828
492,32.906,786,559,4658
493,32.973,775,594,4811
494,33.040,765,615,4578
495,33.107,752,623,4585
496,33.174,740,632,3794
497,33.240,733,636,3459
498,33.307,728,639,3021
499,33.374,725,643,2670
500,33.441,725,644,2483
501,33.508,726,642,2469
502,33.575,725,642,2906
503,33.642,717,642,3779
504,33.709,700,643,4551
505,33.775,674,645,4740
506,33.842,635,649,5099
507,33.909,583,650,5647
508,33.976,533,646,6251
509,34.043,496,646,6851
510,34.110,459,642,6699
511,34.177,427,639,6024
512,34.244,402,643,4998
513,34.311,379,645,3243
514,34.377,372,647,2737
515,34.444,350,647,3556
516,34.511,371,641,1232
517,34.578,312,653,1534
518,34.645,309,652,1457
519,34.712,309,652,1476
520,34.779,307,650,1307
521,34.846,309,648,1105
522,34.912,313,647,1089
523,34.979,370,644,1337
524,35.046,371,639,1233
525,35.113,325,541,957
526,35.180,327,525,2863
527,35.247,336,502,4532
528,35.314,353,465,4562
529,35.381,381,439,4752
530,35.448,425,414,4617
531,35.514,468,390,4601
532,35.581,511,372,4524
533,35.648,556,353,4383
534,35.715,599,332,4178
535,35.782,641,316,4267
536,35.849,680,297,4196
537,35.916,714,280,4172
