# name: 김선휘
# student_id: 192719
# mouse_id: m1
# video: m1_30min.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
677,40.771,585,377,357329
678,40.831,651,361,834
679,40.891,634,381,545
680,40.952,636,390,613
681,41.012,603,388,309
682,41.072,625,406,1204
683,41.132,621,414,1508
684,41.193,641,430,406
692,41.674,608,421,318
693,41.735,603,425,753
694,41.795,603,433,764
695,41.855,601,445,626
696,41.915,589,433,1598
697,41.975,585,438,2600
698,42.036,579,441,2963
699,42.096,578,448,3000
700,42.156,574,452,2423
701,42.216,575,469,1493
702,42.277,572,470,886
706,42.517,566,443,860
707,42.578,558,447,1501
708,42.638,552,451,2376
709,42.698,545,451,3366
710,42.758,540,452,4044
711,42.819,536,452,4496
712,42.879,529,453,4887
713,42.939,523,456,4698
714,42.999,514,462,3950
715,43.059,509,466,3511
716,43.120,505,467,3106
717,43.180,500,467,2453
718,43.240,497,465,1337
719,43.300,495,458,1160
720,43.361,491,444,1700
721,43.421,495,441,2793
722,43.481,488,433,3503
723,43.541,480,424,4333
724,43.601,477,417,5283
725,43.662,477,412,5706
726,43.722,472,409,6403
727,43.782,468,407,6806
728,43.842,462,404,6926
729,43.903,460,400,7216
730,43.963,457,397,7110
731,44.023,453,393,7104
732,44.083,452,391,7229
733,44.143,439,385,7052
734,44.204,436,383,6755
735,44.264,433,380,6322
736,44.324,421,375,4646
737,44.384,426,375,3287
738,44.445,441,372,1436
739,44.505,449,376,1608
740,44.565,455,362,1540
741,44.625,453,361,2295
742,44.685,459,356,3237
743,44.746,465,345,4003
744,44.806,470,335,4622
745,44.866,473,327,5559
746,44.926,474,322,6356
747,44.987,474,322,7564
748,45.047,473,318,8445
749,45.107,472,314,8677
750,45.167,471,309,8890
751,45.227,472,304,9052
752,45.288,473,303,9168
753,45.348,474,303,9198
754,45.408,475,311,8262
755,45.468,478,323,6335
756,45.529,486,319,3885
757,45.589,494,320,3824
758,45.649,508,319,3689
759,45.709,517,322,4617
760,45.769,530,314,4435
761,45.830,543,307,4180
762,45.890,547,311,5931
763,45.950,557,306,6144
764,46.010,562,307,6230
765,46.071,568,306,6226
766,46.131,576,307,6408
767,46.191,574,309,6160
768,46.251,568,312,5367
769,46.311,559,316,4071
770,46.372,550,321,3286
771,46.432,546,322,2366
772,46.492,544,320,1685
773,46.552,537,329,1812
774,46.613,528,329,967
777,46.793,656,418,594
778,46.853,659,422,1075
779,46.914,657,426,1483
780,46.974,657,427,1186
787,47.395,537,463,719
788,47.456,529,464,1137
789,47.516,523,465,1411
790,47.576,512,466,1517
791,47.636,507,465,2018
792,47.697,494,462,2610
793,47.757,479,461,3135
794,47.817,469,460,3441
795,47.877,462,460,3792
796,47.937,458,461,4384
797,47.998,457,461,4183
798,48.058,461,459,3315
799,48.118,462,458,3125
800,48.178,459,457,3172
801,48.239,458,456,3276
802,48.299,466,452,2416
803,48.359,477,451,1174
804,48.419,486,458,873
805,48.479,494,466,747
806,48.540,492,465,357
807,48.600,512,474,494
808,48.660,512,478,1321
809,48.720,509,484,2535
810,48.781,507,492,3281
811,48.841,503,498,3919
812,48.901,500,507,4756
813,48.961,499,513,5362
814,49.021,497,517,5848
815,49.082,495,523,6165
816,49.142,494,526,6077
817,49.202,492,529,6447
818,49.262,490,533,6848
819,49.323,489,538,7214
820,49.383,487,543,7463
821,49.443,486,543,7183
822,49.503,486,532,6261
823,49.563,493,516,4117
824,49.624,495,512,3630
825,49.684,499,508,3358
826,49.744,506,511,4090
827,49.804,513,519,4702
828,49.865,516,523,5541
829,49.925,522,527,5981
830,49.985,526,532,6499
831,50.045,530,537,7082
832,50.105,536,542,7651
833,50.166,541,546,8284
834,50.226,543,550,8901
835,50.286,541,548,9756
836,50.346,541,553,8593
837,50.407,534,547,7457
838,50.467,525,531,5279
839,50.527,515,522,3931
840,50.587,506,511,2739
841,50.648,502,513,2446
842,50.708,487,517,2187
843,50.768,475,515,2712
844,50.828,464,516,3419
845,50.888,457,515,4412
846,50.949,452,514,4729
847,51.009,446,515,5018
848,51.069,440,517,5549
849,51.129,434,518,5952
850,51.190,429,521,6575
851,51.250,426,522,7230
852,51.310,423,525,7630
853,51.370,418,529,8103
854,51.430,416,533,8289
855,51.491,411,534,8793
856,51.551,405,537,9212
857,51.611,408,536,8810
858,51.671,414,531,8303
859,51.732,411,529,8162
860,51.792,410,523,7991
861,51.852,405,521,8689
862,51.912,397,516,9405
863,51.972,391,510,9756
864,52.033,385,506,10257
865,52.093,384,504,10342
866,52.153,382,503,10338
867,52.213,384,502,10091
868,52.274,395,500,9165
869,52.334,415,497,7391
870,52.394,419,491,6819
871,52.454,414,482,7766
872,52.514,411,473,8351
873,52.575,405,462,8937
874,52.635,396,445,8793
875,52.695,388,433,8966
876,52.755,377,420,8775
877,52.816,371,403,8694
878,52.876,370,392,8955
879,52.936,367,383,9076
880,52.996,367,376,9037
881,53.056,364,367,8388
882,53.117,354,353,7987
883,53.177,346,334,7694
884,53.237,346,316,7727
885,53.297,346,302,7829
886,53.358,346,291,8508
887,53.418,346,283,8623
888,53.478,344,270,8563
889,53.538,341,260,8499
890,53.598,339,248,8593
891,53.659,338,237,8172
892,53.719,334,223,7868
893,53.779,332,217,8115
894,53.839,331,211,8594
895,53.900,329,205,9014
896,53.960,330,207,8635
897,54.020,330,206,8559
898,54.080,330,205,8598
899,54.140,329,207,8600
900,54.201,333,219,7968
901,54.261,338,226,7357
902,54.321,341,226,7181
903,54.381,340,231,7200
904,54.442,342,232,7369
905,54.502,348,223,7854
906,54.562,357,211,8223
907,54.622,368,197,8600
908,54.682,379,184,8456
909,54.743,383,173,9267
910,54.803,388,161,9647
911,54.863,393,155,9434
912,54.923,394,159,9189
913,54.984,388,168,8026
914,55.044,384,175,7677
915,55.104,390,179,7813
916,55.164,402,177,8014
917,55.224,416,178,7929
918,55.285,430,177,7870
919,55.345,442,172,8794
920,55.405,459,169,9163
921,55.465,478,165,8666
922,55.526,495,158,8617
923,55.586,512,155,8259
924,55.646,522,152,8719
925,55.706,532,150,8769
926,55.766,542,147,9095
927,55.827,552,144,8666
928,55.887,563,137,8858
929,55.947,575,134,8267
930,56.007,583,133,8463
931,56.068,592,132,8700
932,56.128,600,130,8864
933,56.188,603,127,9638
934,56.248,602,127,8915
935,56.308,606,125,8568
936,56.369,609,123,9029
937,56.429,609,121,8978
938,56.489,609,120,9040
939,56.549,605,120,9016
940,56.610,596,122,8552
941,56.670,585,129,7509
942,56.730,585,132,7507
943,56.790,593,133,7824
944,56.850,614,136,7742
945,56.911,635,147,7340
