# name: 김선휘
# student_id: 192719
# mouse_id: m2
# video: m2_7min_practice.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
2,0.125,585,377,357329
3,0.188,624,611,479
4,0.250,615,607,977
5,0.312,594,612,1896
6,0.375,570,613,2093
7,0.438,541,615,2137
8,0.500,519,606,2288
9,0.562,492,601,2370
10,0.625,468,602,2334
11,0.688,440,602,2346
12,0.750,428,596,4322
13,0.812,408,588,4304
14,0.875,383,589,3760
15,0.938,360,573,3065
16,1.000,350,563,2988
17,1.062,339,567,4521
18,1.125,326,571,3413
19,1.188,323,546,856
25,1.562,314,577,399
26,1.625,314,588,1710
27,1.688,312,601,2929
28,1.750,312,606,3362
29,1.812,309,610,2990
30,1.875,309,613,2428
31,1.938,316,606,590
32,2.000,321,606,406
38,2.375,304,598,391
39,2.438,304,598,449
42,2.625,313,561,342
43,2.688,332,528,692
44,2.750,334,523,1226
45,2.812,336,524,3172
46,2.875,341,516,5727
47,2.938,342,501,8156
48,3.000,338,484,9918
49,3.062,333,457,9876
50,3.125,334,438,10824
51,3.188,335,417,10732
52,3.250,335,398,10565
53,3.312,338,384,10203
54,3.375,337,374,10240
55,3.438,334,365,10412
56,3.500,333,356,10785
57,3.562,331,341,10552
58,3.625,332,324,10513
59,3.688,332,310,10159
60,3.750,329,298,10145
61,3.812,326,283,9766
62,3.875,325,266,9707
63,3.938,326,250,10278
64,4.000,326,240,10188
65,4.062,325,236,10122
66,4.125,325,237,9914
67,4.188,326,237,9695
68,4.250,330,237,9921
69,4.312,336,230,9610
70,4.375,345,225,10530
71,4.438,352,217,10855
72,4.500,355,211,11134
73,4.562,354,212,10682
74,4.625,352,217,10308
75,4.688,351,220,9974
76,4.750,351,217,10049
77,4.812,348,200,8725
78,4.875,352,183,6287
79,4.938,355,185,4937
80,5.000,374,200,2734
81,5.062,383,208,3737
82,5.125,386,207,4909
83,5.188,388,207,5661
84,5.250,387,209,5922
85,5.312,387,208,5098
86,5.375,387,214,3422
87,5.438,397,226,1636
88,5.500,399,223,674
89,5.562,401,222,500
90,5.625,381,205,991
91,5.688,406,223,622
92,5.750,404,230,791
93,5.812,400,239,955
94,5.875,392,226,2023
95,5.938,396,230,3642
96,6.000,418,233,4325
97,6.062,408,225,7353
98,6.125,414,216,9760
99,6.188,428,212,9675
100,6.250,447,206,9601
101,6.312,471,196,9301
102,6.375,485,187,9346
103,6.438,498,184,9176
104,6.500,514,179,9592
105,6.562,534,172,9783
106,6.625,549,163,9432
107,6.688,561,159,9229
108,6.750,562,159,9248
109,6.812,562,159,9156
110,6.875,562,160,9040
111,6.938,562,160,9111
112,7.000,562,160,9338
113,7.062,566,156,9473
114,7.125,577,145,10637
115,7.188,588,134,10430
116,7.250,596,129,10108
117,7.312,603,126,9886
118,7.375,607,120,9125
119,7.438,610,116,8613
120,7.500,610,112,7958
121,7.562,612,109,7120
122,7.625,612,107,6697
123,7.688,612,109,6864
124,7.750,613,108,6921
125,7.812,612,110,7081
126,7.875,611,110,7238
127,7.938,614,109,6980
128,8.000,613,110,7145
129,8.062,613,109,7211
130,8.125,612,110,7532
131,8.188,613,110,7581
132,8.250,614,113,8036
133,8.312,612,119,8908
134,8.375,610,124,9171
135,8.438,612,123,8677
136,8.500,615,121,8629
137,8.562,631,116,6717
138,8.625,650,111,7009
139,8.688,666,114,8656
140,8.750,680,115,9387
141,8.812,693,114,9488
142,8.875,705,116,9904
143,8.938,718,120,10208
144,9.000,739,122,10243
145,9.062,759,124,9835
146,9.125,771,128,10165
147,9.188,787,134,10006
148,9.250,797,136,9870
149,9.312,802,135,9615
150,9.375,803,135,9699
151,9.438,802,134,9756
152,9.500,802,134,9752
153,9.562,801,134,9896
154,9.625,802,134,9743
155,9.688,801,134,9730
156,9.750,797,132,9452
157,9.812,793,131,9224
158,9.875,795,129,9387
159,9.938,805,123,9689
160,10.000,813,121,9527
161,10.062,814,121,9612
162,10.125,815,120,9534
163,10.188,815,120,9469
164,10.250,815,121,9327
165,10.312,815,121,9163
166,10.375,817,120,8883
167,10.438,818,120,8606
168,10.500,817,120,8601
169,10.562,818,119,8556
170,10.625,817,120,8604
171,10.688,816,119,8715
172,10.750,817,120,8591
173,10.812,817,120,8687
174,10.875,817,120,8623
175,10.938,818,119,8627
176,11.000,818,119,8712
177,11.062,819,119,8645
178,11.125,821,116,7959
179,11.188,824,115,7400
180,11.250,832,114,6504
181,11.312,835,113,5791
182,11.375,837,111,5328
183,11.438,839,110,4843
184,11.500,840,110,4574
185,11.562,841,110,4388
186,11.625,840,106,4026
187,11.688,849,100,2695
188,11.750,848,98,2630
189,11.812,846,96,2416
190,11.875,845,96,2518
191,11.938,844,104,3385
192,12.000,826,106,4378
193,12.062,807,96,3296
194,12.125,817,118,4776
195,12.188,807,97,2731
196,12.250,838,173,3062
197,12.312,831,175,5120
198,12.375,833,178,7500
199,12.438,835,192,8596
200,12.500,835,204,9826
201,12.562,835,221,10110
202,12.625,835,234,10829
203,12.688,836,247,10686
204,12.750,837,258,10345
205,12.812,837,276,10800
206,12.875,837,301,11280
207,12.938,842,332,10474
208,13.000,843,356,11013
209,13.062,843,370,11166
210,13.125,843,376,10812
211,13.188,843,380,10336
212,13.250,842,382,10500
213,13.312,845,406,9731
214,13.375,848,416,9379
215,13.438,851,427,9190
216,13.500,855,435,8493
217,13.562,856,437,7932
218,13.625,857,438,7809
219,13.688,857,437,7535
220,13.750,855,432,7940
221,13.812,854,427,7674
222,13.875,853,423,7767
223,13.938,854,421,7546
224,14.000,855,418,7314
225,14.062,856,414,7075
226,14.125,857,413,6611
227,14.188,859,413,6193
228,14.250,860,413,5982
229,14.312,859,415,6010
230,14.375,859,416,5912
231,14.438,859,416,6177
232,14.500,857,416,6185
233,14.562,858,416,6212
234,14.625,857,416,6093
235,14.688,858,418,6407
236,14.750,856,422,7334
237,14.812,853,421,8117
238,14.875,849,418,8542
239,14.938,845,418,9187
240,15.000,847,429,9370
241,15.062,850,444,9526
242,15.125,854,465,9640
243,15.188,855,489,10363
244,15.250,856,515,10214
245,15.312,857,538,9971
246,15.375,854,566,10978
247,15.438,857,587,10451
248,15.500,857,597,9377
249,15.562,856,601,9383
250,15.625,853,604,9510
251,15.688,854,607,8404
252,15.750,856,613,7741
253,15.812,857,617,6835
254,15.875,859,622,5750
255,15.938,860,624,5157
256,16.000,859,625,5048
257,16.062,859,625,5198
258,16.125,859,625,5192
259,16.188,859,624,5439
260,16.250,858,623,5633
261,16.312,858,623,5896
262,16.375,855,620,6932
263,16.438,854,615,7808
264,16.500,855,611,8391
265,16.562,854,612,8863
266,16.625,848,609,9779
267,16.688,847,610,9843
268,16.750,841,611,10223
269,16.812,826,614,10174
270,16.875,808,619,10606
271,16.938,790,623,10043
272,17.000,766,629,9261
273,17.062,743,629,9639
274,17.125,725,628,9347
275,17.188,708,630,7242
276,17.250,691,630,5525
277,17.312,617,624,6395
278,17.375,591,627,6840
279,17.438,577,624,7617
280,17.500,566,621,8643
281,17.562,554,624,10093
282,17.625,543,627,10696
283,17.688,532,627,10888
284,17.750,521,627,11231
285,17.812,503,629,11614
286,17.875,482,632,11000
287,17.938,470,635,10330
288,18.000,458,635,10285
289,18.062,447,636,10179
290,18.125,441,637,9764
291,18.188,434,640,10177
292,18.250,416,642,10552
293,18.312,373,648,9106
294,18.375,368,647,8870
295,18.438,367,646,9266
296,18.500,365,645,9205
297,18.562,367,645,8847
298,18.625,368,647,8592
299,18.688,366,649,7962
300,18.750,364,650,7693
301,18.812,359,653,7143
302,18.875,357,655,6469
303,18.938,355,656,6238
304,19.000,355,655,6314
305,19.062,354,655,6308
306,19.125,355,655,6387
307,19.188,356,654,6625
308,19.250,360,651,7509
309,19.312,366,647,8182
310,19.375,375,644,7878
311,19.438,378,643,7577
312,19.500,383,643,7332
313,19.562,391,643,7579
314,19.625,399,644,7838
315,19.688,408,646,7851
316,19.750,414,645,8063
317,19.812,417,644,7945
318,19.875,416,642,7735
319,19.938,424,643,8566
320,20.000,436,645,9045
321,20.062,455,648,9068
322,20.125,470,646,8661
323,20.188,479,646,8154
324,20.250,483,644,8410
325,20.312,484,642,8523
326,20.375,484,642,8593
327,20.438,483,641,8574
328,20.500,483,642,8486
329,20.562,481,641,8064
330,20.625,484,642,7658
331,20.688,484,646,7098
332,20.750,486,648,6793
333,20.812,488,649,6330
334,20.875,489,649,6079
335,20.938,487,648,6000
336,21.000,485,648,6058
337,21.062,484,648,6028
338,21.125,483,648,6157
339,21.188,482,646,6569
340,21.250,477,645,7031
341,21.312,473,646,6981
342,21.375,465,648,6926
343,21.438,457,648,7126
344,21.500,453,647,7421
345,21.562,444,650,6605
346,21.625,432,652,5793
347,21.688,431,651,5729
348,21.750,433,652,5764
349,21.812,432,653,5782
350,21.875,429,653,5885
351,21.938,431,650,6098
352,22.000,430,649,6344
353,22.062,428,650,6590
354,22.125,428,650,6483
355,22.188,429,649,6932
356,22.250,432,650,7003
357,22.312,439,648,7252
358,22.375,443,646,7905
359,22.438,444,643,8417
360,22.500,449,643,8205
361,22.562,452,643,8498
362,22.625,451,644,8375
363,22.688,443,644,8794
364,22.750,434,639,10086
365,22.812,418,637,9288
366,22.875,407,631,6745
367,22.938,401,627,5188
368,23.000,344,549,4485
369,23.062,344,536,6239
370,23.125,348,529,8648
371,23.188,346,519,11164
372,23.250,348,484,11514
373,23.312,346,470,11328
374,23.375,345,459,11687
375,23.438,344,452,11559
376,23.500,344,444,11651
377,23.562,347,435,11383
378,23.625,349,427,11677
379,23.688,349,419,11651
