# name: 김선휘
# student_id: 192719
# mouse_id: m5
# video: m5_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
437,29.229,585,377,357329
438,29.296,330,275,8491
439,29.363,734,224,1640
440,29.429,677,296,1179
441,29.496,757,205,3013
442,29.563,785,175,1242
443,29.630,801,167,1078
444,29.697,809,155,1501
445,29.764,822,135,705
446,29.831,839,125,563
447,29.898,843,120,808
448,29.965,843,111,731
449,30.031,836,107,1016
450,30.098,835,93,790
451,30.165,825,95,576
452,30.232,818,103,308
456,30.500,831,170,489
457,30.566,834,174,838
458,30.633,839,174,1000
459,30.700,843,179,1183
460,30.767,846,193,1188
461,30.834,848,201,1569
462,30.901,844,204,1531
463,30.968,842,209,1490
464,31.035,838,211,1376
465,31.102,837,218,1031
466,31.168,840,226,1399
467,31.235,841,234,1999
468,31.302,839,242,2894
469,31.369,839,251,3288
470,31.436,843,262,3756
471,31.503,848,271,4425
472,31.570,854,288,4869
473,31.637,853,303,4998
474,31.704,853,318,5175
475,31.770,856,332,5716
476,31.837,858,346,5574
477,31.904,861,360,5439
478,31.971,860,375,5892
479,32.038,858,394,5874
480,32.105,859,416,6022
481,32.172,862,436,5842
482,32.239,865,457,5626
483,32.305,865,473,5912
484,32.372,864,489,5971
485,32.439,864,508,5847
486,32.506,867,526,5895
487,32.573,870,547,5676
488,32.640,869,563,5465
489,32.707,863,567,5412
490,32.774,856,569,5075
491,32.841,852,572,4999
492,32.907,851,574,5036
493,32.974,844,580,5290
494,33.041,831,590,5184
495,33.108,815,595,5437
496,33.175,798,598,5600
497,33.242,781,600,5674
498,33.309,763,605,6029
499,33.376,746,611,5970
500,33.443,724,618,5865
501,33.509,709,620,6172
502,33.576,688,619,6055
503,33.643,666,624,6233
504,33.710,644,628,6014
505,33.777,623,629,6047
506,33.844,607,628,6149
507,33.911,586,627,6159
508,33.978,567,629,6193
509,34.044,546,630,6017
510,34.111,533,626,6223
511,34.178,527,620,6309
512,34.245,514,610,6197
513,34.312,500,602,6205
514,34.379,491,597,5967
515,34.446,486,590,5650
516,34.513,482,580,5954
517,34.580,477,567,6250
518,34.646,470,551,6253
519,34.713,459,537,6212
520,34.780,447,524,6205
521,34.847,433,508,6032
522,34.914,427,498,6338
523,34.981,422,493,6213
524,35.048,421,496,5770
525,35.115,417,499,5793
526,35.182,406,500,6076
527,35.248,388,500,6489
528,35.315,381,499,6461
529,35.382,380,498,6533
530,35.449,387,500,6057
531,35.516,398,505,5449
532,35.583,408,513,5338
533,35.650,416,517,5000
534,35.717,416,510,5262
535,35.784,416,495,5313
536,35.850,415,471,5604
537,35.917,417,446,5659
538,35.984,417,425,5786
539,36.051,419,409,5365
540,36.118,434,394,5676
541,36.185,449,380,5412
542,36.252,466,365,5599
543,36.319,480,349,5614
544,36.385,496,334,5587
545,36.452,513,322,5954
546,36.519,532,310,5563
547,36.586,548,294,5771
548,36.653,566,277,5386
549,36.720,587,264,5653
550,36.787,606,252,5512
551,36.854,621,238,5707
552,36.921,633,224,5612
553,36.987,644,213,5808
554,37.054,651,209,5824
555,37.121,659,207,5839
556,37.188,670,199,5588
557,37.255,680,186,5513
558,37.322,692,172,5190
559,37.389,705,165,5492
560,37.456,721,154,5300
561,37.523,725,149,5561
562,37.589,720,151,5477
563,37.656,716,148,5494
564,37.723,715,141,5433
565,37.790,717,137,5312
566,37.857,717,135,5081
567,37.924,714,129,4889
568,37.991,712,125,4709
569,38.058,711,122,4411
570,38.124,710,119,4163
571,38.191,709,116,3928
572,38.258,708,115,3854
573,38.325,708,120,4167
574,38.392,709,129,4753
575,38.459,709,139,4791
576,38.526,709,142,5030
577,38.593,708,148,4889
578,38.660,702,150,4850
579,38.726,692,145,5210
580,38.793,680,140,5545
581,38.860,666,133,5507
582,38.927,651,130,5560
583,38.994,644,130,5531
584,39.061,632,127,5575
585,39.128,614,123,5294
586,39.195,595,124,5600
587,39.262,572,127,5665
588,39.328,550,127,5856
589,39.395,527,126,5682
590,39.462,501,128,5437
591,39.529,487,130,5730
592,39.596,474,131,5712
593,39.663,459,131,5934
594,39.730,450,129,5981
595,39.797,443,127,6134
596,39.863,425,125,5990
597,39.930,405,128,5858
598,39.997,393,131,5959
599,40.064,388,131,5820
600,40.131,386,127,5880
601,40.198,384,126,5996
602,40.265,384,126,6024
603,40.332,382,126,6096
604,40.399,380,125,6143
605,40.465,378,124,6328
606,40.532,376,123,6478
607,40.599,371,122,6755
608,40.666,370,122,6524
609,40.733,367,120,6662
610,40.800,364,119,6754
611,40.867,362,117,6704
612,40.934,361,116,6586
613,41.001,363,117,6555
614,41.067,378,121,5679
615,41.134,386,127,5612
616,41.201,382,131,5811
617,41.268,372,135,6009
618,41.335,359,144,5558
619,41.402,353,154,5703
620,41.469,346,164,5941
621,41.536,343,177,6010
622,41.603,337,196,6287
623,41.669,333,223,6225
624,41.736,333,250,6278
625,41.803,330,272,6560
626,41.870,329,293,6510
627,41.937,331,326,6326
628,42.004,335,351,6218
629,42.071,335,371,6143
630,42.138,334,386,6435
631,42.204,335,413,6180
632,42.271,339,441,6105
633,42.338,342,465,6094
634,42.405,339,485,6201
635,42.472,337,509,6220
636,42.539,340,537,6338
637,42.606,344,558,6349
638,42.673,344,577,6594
639,42.740,343,588,6624
640,42.806,342,583,6284
641,42.873,339,579,6383
642,42.940,336,579,6497
643,43.007,334,585,6599
644,43.074,332,585,6552
645,43.141,333,585,6446
646,43.208,332,588,6520
647,43.275,330,591,6418
648,43.342,328,594,6353
649,43.408,327,599,6132
650,43.475,326,602,5960
651,43.542,326,603,5810
652,43.609,325,609,6001
653,43.676,325,614,6129
654,43.743,325,618,6248
655,43.810,325,619,6262
656,43.877,325,620,6267
657,43.943,326,622,6219
658,44.010,326,621,6209
659,44.077,329,608,5878
660,44.144,336,594,5471
661,44.211,342,588,5421
662,44.278,344,590,5786
663,44.345,350,596,6153
664,44.412,363,603,6073
665,44.479,377,609,5862
666,44.545,390,614,6385
667,44.612,419,616,6517
668,44.679,454,612,5686
669,44.746,478,612,6021
670,44.813,509,614,5792
671,44.880,543,612,5663
672,44.947,570,610,5653
673,45.014,596,612,5759
674,45.081,627,612,5399
675,45.147,649,607,5474
676,45.214,668,602,5474
677,45.281,684,601,5524
678,45.348,702,592,5232
679,45.415,716,575,5379
680,45.482,731,559,5380
681,45.549,746,544,5573
682,45.616,764,527,5498
683,45.682,783,504,5362
684,45.749,797,485,5334
685,45.816,810,472,5481
686,45.883,817,465,5667
687,45.950,821,458,5541
688,46.017,819,456,5210
689,46.084,815,453,5020
690,46.151,811,444,5317
691,46.218,809,429,5522
692,46.284,807,413,5535
693,46.351,807,396,5513
694,46.418,809,376,5212
695,46.485,807,350,5301
696,46.552,801,327,5255
697,46.619,801,303,5410
698,46.686,804,278,5032
699,46.753,801,262,4550
700,46.820,799,251,3835
701,46.886,802,240,3386
702,46.953,806,229,2668
703,47.020,811,215,1536
704,47.087,797,131,1576
705,47.154,808,130,1683
706,47.221,822,144,2955
707,47.288,830,132,3693
708,47.355,832,127,3912
709,47.422,832,128,4065
710,47.488,830,132,3724
711,47.555,826,143,2825
712,47.622,825,144,2361
713,47.689,829,141,2626
714,47.756,831,138,2895
715,47.823,831,136,2867
716,47.890,830,139,2573
717,47.957,837,148,2460
718,48.023,843,160,2335
719,48.090,844,165,2603
720,48.157,844,168,2614
721,48.224,846,168,2576
722,48.291,847,165,2554
723,48.358,848,165,2510
724,48.425,848,172,2475
725,48.492,849,179,2436
726,48.559,849,185,2557
727,48.625,851,190,2893
728,48.692,849,197,3227
729,48.759,847,206,3553
730,48.826,844,216,3837
731,48.893,843,228,4533
732,48.960,843,244,5327
733,49.027,846,266,5862
734,49.094,852,294,5545
735,49.161,853,324,5445
736,49.227,852,351,5501
737,49.294,853,378,5664
738,49.361,855,406,5450
739,49.428,853,431,5689
740,49.495,853,457,5879
741,49.562,856,481,5912
742,49.629,858,503,5597
743,49.696,857,523,5702
744,49.762,859,547,5907
745,49.829,862,569,5736
746,49.896,864,582,5582
747,49.963,864,589,5839
748,50.030,867,596,5618
749,50.097,873,602,5019
750,50.164,873,608,4576
751,50.231,873,613,4125
752,50.298,874,617,3666
753,50.364,875,620,3260
754,50.431,876,622,3078
755,50.498,877,624,2860
756,50.565,877,626,2792
757,50.632,876,625,2916
758,50.699,876,623,3007
759,50.766,876,623,2997
760,50.833,876,623,2974
